"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1106","guest can create new user account","tests","Thu Jul 16 17:47:04 UTC 2026","passed","Thu Jul 16 17:47:05 UTC 2026","TestRegisteringNewUserAccount","test_register_page","",""
"","41","user can see my account block","tests","Thu Jul 16 17:46:58 UTC 2026","passed","Thu Jul 16 17:46:58 UTC 2026","TestDashboardPage","test_dashboard_page","",""
"","301","guest should see register block","tests","Thu Jul 16 17:47:01 UTC 2026","passed","Thu Jul 16 17:47:02 UTC 2026","TestLoginPage","test_login_page","",""
"","591","user can see success message after change account info","tests","Thu Jul 16 17:47:01 UTC 2026","passed","Thu Jul 16 17:47:01 UTC 2026","TestDashboardPage","test_dashboard_page","",""
"","217","user should see form account info","tests","Thu Jul 16 17:46:55 UTC 2026","passed","Thu Jul 16 17:46:56 UTC 2026","TestAccountInfoPage","test_account_info_page","",""
"","38","user can see my affiliate account block","tests","Thu Jul 16 17:47:00 UTC 2026","passed","Thu Jul 16 17:47:00 UTC 2026","TestDashboardPage","test_dashboard_page","",""
"","344","guest should see login form","tests","Thu Jul 16 17:47:02 UTC 2026","passed","Thu Jul 16 17:47:02 UTC 2026","TestLoginPage","test_login_page","",""
"","42","user can see my orders block","tests","Thu Jul 16 17:46:59 UTC 2026","passed","Thu Jul 16 17:46:59 UTC 2026","TestDashboardPage","test_dashboard_page","",""
"","304","guest can see register form","tests","Thu Jul 16 17:47:03 UTC 2026","passed","Thu Jul 16 17:47:03 UTC 2026","TestRegisteringNewUserAccount","test_register_page","",""
"","779","user can change account info","tests","Thu Jul 16 17:46:56 UTC 2026","passed","Thu Jul 16 17:46:57 UTC 2026","TestAccountInfoPage","test_account_info_page","",""
"","287","guest should see right sidebar","tests","Thu Jul 16 17:47:02 UTC 2026","passed","Thu Jul 16 17:47:02 UTC 2026","TestLoginPage","test_login_page","",""
"","779","guest can sign in account","tests","Thu Jul 16 17:47:02 UTC 2026","passed","Thu Jul 16 17:47:03 UTC 2026","TestLoginPage","test_login_page","",""
